id,observed_on,latitude,longitude,scientific_name,common_name
41186928,2020,35.6009,-82.554,Pyrus calleryana,Callery pear
41188511,2020,35.09489603,-77.75303111,Pyrus calleryana,Callery pear
41297828,2020,35.9939311,-77.9587277,Pyrus calleryana,Callery pear
41456298,2020,35.89872594,-80.01318273,Pyrus calleryana,Callery pear
41486203,2020,35.98968889,-78.80675146,Pyrus calleryana,Callery pear
41633207,2020,36.49541167,-80.60827,Pyrus calleryana,Callery pear
41814575,2020,35.97066491,-78.95906546,Pyrus calleryana,Callery pear
41928590,2020,35.51116818,-78.73673106,Pyrus calleryana,Callery pear
42009723,2020,35.67892485,-82.25414684,Pyrus calleryana,Callery pear
42011735,2020,35.58484047,-82.57612858,Pyrus calleryana,Callery pear
42030913,2020,35.493745,-82.455825,Pyrus calleryana,Callery pear
42044305,2020,35.54224202,-82.56770047,Pyrus calleryana,Callery pear
42249423,2020,35.76922751,-78.72163436,Pyrus calleryana,Callery pear
42278073,2020,35.34915183,-81.93180072,Pyrus calleryana,Callery pear
42337799,2020,35.75984345,-78.77950055,Pyrus calleryana,Callery pear
42582498,2020,35.353401,-80.180852,Pyrus calleryana,Callery pear
42801064,2020,35.30570309,-77.94516759,Pyrus calleryana,Callery pear
42847924,2020,35.15228773,-79.43236402,Pyrus calleryana,Callery pear
42883169,2020,35.80275278,-78.85942778,Pyrus calleryana,Callery pear
42885910,2020,36.06246508,-79.7091069,Pyrus calleryana,Callery pear
42899995,2020,36.23030502,-81.718729,Pyrus calleryana,Callery pear
42899996,2020,36.23031729,-81.71872274,Pyrus calleryana,Callery pear
43097567,2020,35.78047714,-78.52228044,Pyrus calleryana,Callery pear
43107225,2020,35.87048667,-78.73018667,Pyrus calleryana,Callery pear
43132019,2020,35.70907021,-79.19976471,Pyrus calleryana,Callery pear
43220471,2020,34.37068616,-78.72145694,Pyrus calleryana,Callery pear
43228225,2020,35.9623179,-81.12045293,Pyrus calleryana,Callery pear
43230189,2020,35.7830173,-78.3808367,Pyrus calleryana,Callery pear
43231842,2020,35.23258248,-82.63421979,Pyrus calleryana,Callery pear
43257126,2020,34.79593344,-79.45711686,Pyrus calleryana,Callery pear
43261312,2020,35.794255,-78.46976333,Pyrus calleryana,Callery pear
43335836,2020,35.72377774,-79.19075824,Pyrus calleryana,Callery pear
43354162,2020,35.0072977,-80.67451313,Pyrus calleryana,Callery pear
43391916,2020,35.79128364,-78.49316249,Pyrus calleryana,Callery pear
43392148,2020,35.78945461,-78.49566655,Pyrus calleryana,Callery pear
43430647,2020,35.47979109,-83.34863964,Pyrus calleryana,Callery pear
43459135,2020,35.91783333,-78.97013056,Pyrus calleryana,Callery pear
43483152,2020,35.631585,-78.70981,Pyrus calleryana,Callery pear
43549489,2020,35.56996487,-82.37974643,Pyrus calleryana,Callery pear
43693379,2020,35.758275,-78.95877,Pyrus calleryana,Callery pear
43719955,2020,36.06393493,-79.70815,Pyrus calleryana,Callery pear
43774813,2020,35.79592433,-78.99576587,Pyrus calleryana,Callery pear
43788056,2020,35.66345157,-82.35083224,Pyrus calleryana,Callery pear
43806595,2020,34.74354795,-79.58739374,Pyrus calleryana,Callery pear
43840016,2020,35.95505113,-78.74724033,Pyrus calleryana,Callery pear
43918266,2020,35.80067235,-78.53284299,Pyrus calleryana,Callery pear
44005150,2020,35.387875,-82.54695833,Pyrus calleryana,Callery pear
44090551,2020,35.7725054,-78.5428389,Pyrus calleryana,Callery pear
44126798,2020,36.11905682,-79.27292603,Pyrus calleryana,Callery pear
44126898,2020,36.11890393,-79.27295527,Pyrus calleryana,Callery pear
44236203,2020,35.92239444,-78.95845278,Pyrus calleryana,Callery pear
44236426,2020,35.92239722,-78.95726944,Pyrus calleryana,Callery pear
44318127,2020,36.15192378,-79.77679083,Pyrus calleryana,Callery pear
44378921,2020,36.00590203,-75.66821418,Pyrus calleryana,Callery pear
44419712,2020,35.64315,-78.73586333,Pyrus calleryana,Callery pear
44507236,2020,35.80444705,-78.70351271,Pyrus calleryana,Callery pear
44543989,2020,35.38364648,-82.53116166,Pyrus calleryana,Callery pear
